Name,Dob,Gender,Religion,Email,Phone,Address,Class,Section,Username,Password,Roll,BloodGroup,State,Country,RegistrationNO,Group,OptionalSubject
Arsalan,20-12-2002,Male,Islam,ArsalanGR195@irex.pk,90078601,Pakistan,9,A,ArsalanGR195,123456,GR195,AB+,Sindh,Pakistan,967,Arts,
Danish,20-12-2002,Male,Islam,DanishGR477@irex.pk,90078601,Pakistan,9,A,DanishGR477,123456,GR477,AB+,Sindh,Pakistan,381,Arts,
Fizza,20-12-2002,Female,Islam,FizzaGR29@irex.pk,90078601,Pakistan,9,A,FizzaGR29,123456,GR29,AB+,Sindh,Pakistan,384,Arts,
Kashif,20-12-2002,Male,Islam,KashifGR22@irex.pk,90078601,Pakistan,9,A,KashifGR22,123456,GR22,AB+,Sindh,Pakistan,385,Arts,
Rabia,20-12-2002,Female,Islam,RabiaGR373@irex.pk,90078601,Pakistan,9,A,RabiaGR373,123456,GR373,AB+,Sindh,Pakistan,383,Arts,
Shahbaz,20-12-2002,Male,Islam,ShahbazGR618@irex.pk,90078601,Pakistan,9,A,ShahbazGR618,123456,GR618,AB+,Sindh,Pakistan,380,Arts,
Yousaf,20-12-2002,Male,Islam,YousafGR214@irex.pk,90078601,Pakistan,9,A,YousafGR214,123456,GR214,AB+,Sindh,Pakistan,382,Arts,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
